Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 2,04; 7,15; 0,03; 19; 21.01.2018; 3,35; Журавлев Богдан Артёмович; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,66; 4,51; 3,9; 42; 01.11.2019; 9,16; Шевелева Марина Васильевна; Равным образом дальнейшее разв; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 4,51; 8,85; 5,66; 45; 01.11.2019; 1,51; Сергеева Юлия Андреевна; Повседневная практика показыва; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 1,18; 9,69; 7,15; 90; 09.10.1984; 0,03; Гришин Тихон Максимович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,91; 8,19; 1,17; 24; 15.04.1986; 3,89; Мещерякова Агния Кирилловна; Таким образом, сложившаяся стр; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 2,09; 7,95; 5,51; 25; 03.12.1982; 1,51; Калашников Кирилл Кириллович; Дорогие друзья, постоянный кол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,5; 8,56; 1,13; 39; 29.09.1970; 6,6; Королев Семён Михайлович; Таким образом, сложившаяся стр; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 2,04; 7,95; 9,69; 94; 22.07.2000; 6,28; Семенов Константин Кириллович; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,69; 3,35; 6,12; 25; 27.05.1999; 5,23; Костина Зоя Ивановна; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,51; 9,0; 0,93; 76; 11.08.2013; 9,16; Григорьев Михаил Кириллович; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,9; 2,04; 0,46; 19; 20.11.2016; 9,9; Сергеева Элина Артёмовна; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 6,9; 0,4; 4,04; 9; 24.03.1982; 8,91; Петровская Елизавета Саввична; Равным образом сложившаяся стр; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 8,33; 5,99; 6,6; 2; 15.05.1991; 7,95; Кононова Сафия Тимофеевна; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,98; 4,73; 3,06; 67; 11.08.2013; 7,98; Григорьев Михаил Кириллович; Значимость этих проблем настол; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 8,56; 6,27; 9,0; 22; 11.08.2013; 2,09; Русаков Егор Фёдорович; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,95; 1,51; 0,06; 45; 30.09.2002; 5,82; Алексеева Виктория Максимовна; Не следует, однако, забывать о; 
Повседневная практика показыва; Петрова Дарина Семёновна; 9,16; 5,5; 8,91; 38; 04.07.1999; 7,95; Ермолаев Михаил Артёмович; Дорогие друзья, постоянный кол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 8,88; 2,84; 6,22; 75; 25.07.1991; 4,61; Мартынов Данила Фёдорович; Равным образом дальнейшее разв; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,0; 8,4; 5,55; 86; 15.04.1986; 4,98; Семенов Константин Кириллович; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,16; 5,5; 7,11; 79; 27.05.1999; 3,35; Ильина Василиса Михайловна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 2,21; 2,42; 0,93; 24; 04.12.2022; 6,22; Михайлова Мира Артёмовна; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,55; 5,25; 2,21; 63; 20.11.2016; 5,66; Гусев Роман Александрович; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,12; 9,69; 6,6; 12; 29.10.1987; 4,72; Кононова Сафия Тимофеевна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,06; 3,9; 5,01; 25; 29.10.1987; 8,19; Костина Зоя Ивановна; Равным образом сложившаяся стр; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,9; 2,84; 7,98; 39; 20.11.1971; 4,98; Ушакова Ксения Кирилловна; Задача организации, в особенно; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 0,03; 5,99; 8,85; 88; 03.12.1982; 5,85; Ильина Василиса Михайловна; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 0,54; 4,22; 6,27; 89; 05.09.1999; 6,49; Калинина Ника Львовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,11; 5,24; 1,0; 86; 27.09.1980; 8,33; Дегтярева Анастасия Никитична; Дорогие друзья, постоянный кол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,22; 8,91; 3,85; 94; 24.01.1970; 9,69; Гусев Роман Александрович; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,0; 3,35; 9,69; 26; 27.07.2018; 2,21; Андреев Константин Денисович; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,0; 8,33; 4,51; 9; 15.05.1991; 2,84; Мартынов Данила Фёдорович; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,85; 6,5; 1,51; 94; 27.05.1999; 3,14; Ермолаев Михаил Артёмович; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,29; 8,88; 5,99; 45; 29.12.1992; 4,51; Старостина Александра Леонидов; Значимость этих проблем настол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 1,0; 5,96; 1,51; 18; 05.11.2021; 3,14; Львов Владимир Константинович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,02; 8,56; 6,6; 99; 09.07.2009; 9,16; Максимова Вероника Михайловна; Разнообразный и богатый опыт п; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,96; 6,22; 2,04; 2; 20.11.1971; 8,33; Михеева Милана Марковна; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,04; 0,93; 5,96; 69; 21.01.2018; 4,29; Фролова Ольга Никитична; Дорогие друзья, консультация с; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,98; 8,85; 1,0; 57; 27.09.1980; 8,88; Григорьев Михаил Кириллович; Разнообразный и богатый опыт н; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 3,9; 3,9; 8,84; 25; 19.09.1974; 5,25; Харитонова Виктория Викторовна; Значимость этих проблем настол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 7,95; 1,17; 9,28; 55; 19.09.2019; 3,9; Симонов Максим Ильич; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,55; 5,55; 7,98; 44; 11.08.2013; 1,02; Калинина Ника Львовна; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,55; 6,22; 8,85; 89; 27.05.1999; 5,55; Дегтярева Анастасия Никитична; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,27; 7,98; 4,73; 35; 19.09.2019; 7,11; Агафонов Илья Павлович; Практический опыт показывает, ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 7,15; 0,93; 4,73; 83; 11.05.1990; 5,25; Гусев Роман Александрович; Разнообразный и богатый опыт п; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,89; 6,49; 3,35; 75; 04.07.1999; 1,02; Морозов Игорь Саввич; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,5; 6,22; 4,72; 24; 12.09.2001; 0,93; Мещерякова Агния Кирилловна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 1,18; 5,96; 4,98; 78; 19.09.2019; 5,55; Литвинов Тимур Ярославович; Дорогие друзья, консультация с; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 7,11; 6,61; 0,46; 2; 30.09.2002; 4,5; Сергеева Юлия Андреевна; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 3,14; 9,16; 1,13; 27; 22.05.2022; 6,61; Гусев Роман Александрович; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,23; 5,23; 9,28; 14; 12.09.2001; 5,82; Петровская Елизавета Саввична; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 6,49; 7,15; 6,9; 95; 03.12.1982; 6,61; Зайцева Арина Давидовна; Значимость этих проблем настол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 8,85; 6,5; 6,61; 18; 02.02.2006; 8,84; Журавлев Богдан Артёмович; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,4; 4,04; 6,28; 75; 10.01.2006; 6,5; Захарова Кристина Адамовна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,28; 3,14; 5,85; 26; 04.07.1999; 2,21; Петровская Елизавета Саввична; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,27; 7,15; 6,49; 39; 15.04.1986; 1,18; Попов Максим Леонович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,56; 5,25; 8,19; 88; 22.05.2022; 4,22; Тарасова Анна Фёдоровна; Таким образом, постоянное инфо; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,85; 5,9; 2,42; 85; 24.03.1982; 3,06; Шевелева Марина Васильевна; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,93; 6,9; 6,12; 75; 31.10.1997; 6,49; Воронцова Елизавета Андреевна; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 6,49; 4,72; 1,51; 99; 21.01.2018; 6,22; Симонов Максим Ильич; Не следует, однако, забывать о; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 9,69; 9,9; 5,5; 75; 23.09.1987; 7,95; Симонов Максим Ильич; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,22; 8,91; 3,06; 27; 30.09.2002; 1,13; Воронцова Елизавета Андреевна; Разнообразный и богатый опыт р; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 0,93; 4,61; 4,98; 22; 04.12.2022; 8,19; Ермолаев Михаил Артёмович; Практический опыт показывает, ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,24; 5,82; 3,06; 2; 12.12.2004; 6,22; Семенов Илья Максимович; Равным образом дальнейшее разв; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,35; 8,19; 5,85; 94; 19.09.2019; 1,17; Сергеева Элина Артёмовна; Разнообразный и богатый опыт р; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 8,91; 5,99; 1,18; 49; 11.05.1990; 6,22; Морозов Олег Максимович; Значимость этих проблем настол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 5,82; 0,03; 0,03; 39; 22.07.2000; 5,82; Воробьева Антонина Адамовна; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 5,99; 1,0; 8,85; 90; 27.07.2018; 7,15; Иванова Ева Семёновна; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,91; 3,89; 5,85; 39; 12.09.2001; 8,4; Попов Максим Леонович; Равным образом сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,22; 9,16; 3,35; 25; 31.10.1997; 8,56; Зайцев Александр Романович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 0,4; 1,51; 6,49; 69; 02.02.2006; 4,04; Калинина Ника Львовна; Таким образом, сложившаяся стр; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 9,0; 2,09; 2,42; 94; 21.01.2018; 6,22; Петрова Дарина Семёновна; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,46; 6,61; 5,99; 39; 31.10.1997; 9,69; Пименова Арина Степановна; Равным образом дальнейшее разв; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,88; 3,9; 1,51; 14; 22.07.2000; 2,21; Пименова Арина Степановна; Равным образом сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 2,04; 7,15; 3,9; 45; 20.11.1971; 6,12; Фролова Ольга Никитична; Дорогие друзья, консультация с; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 2,04; 4,51; 8,19; 67; 23.09.1987; 7,95; Старостина Александра Леонидов; Не следует, однако, забывать о; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 9,0; 7,15; 3,85; 18; 27.05.1999; 7,73; Морозов Игорь Саввич; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,04; 9,0; 7,11; 89; 04.12.2022; 2,04; Гришин Тихон Максимович; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,15; 5,14; 7,98; 27; 29.12.1992; 1,51; Григорьев Михаил Кириллович; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 8,88; 1,18; 5,01; 63; 15.02.2002; 5,5; Литвинов Тимур Ярославович; Дорогие друзья, постоянный кол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,28; 4,98; 4,73; 3; 10.01.2006; 0,4; Захарова Кристина Адамовна; Задача организации, в особенно; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,14; 5,9; 4,72; 40; 05.09.1999; 1,0; Тарасова Анна Фёдоровна; Равным образом дальнейшее разв; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 0,93; 4,51; 4,61; 43; 02.02.2006; 9,9; Тарасова Анна Фёдоровна; Задача организации, в особенно; 
Задача организации, в особенно; Петрова Дарина Семёновна; 0,93; 1,13; 1,17; 75; 22.05.2022; 9,0; Симонов Максим Ильич; Дорогие друзья, консультация с; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 1,51; 5,96; 7,98; 26; 12.12.2004; 8,4; Дегтярева Анастасия Никитична; Повседневная практика показыва; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 5,55; 7,9; 8,33; 3; 15.04.1986; 8,84; Орлова Надежда Данииловна; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,5; 8,4; 9,0; 14; 02.02.2006; 9,0; Гришин Тихон Максимович; С другой стороны новая модель ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,18; 9,28; 2,42; 25; 27.07.2018; 2,09; Старостина Александра Леонидов; Не следует, однако, забывать о; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 5,01; 2,42; 7,9; 2; 11.05.1990; 8,33; Симонов Максим Ильич; Разнообразный и богатый опыт п; 
Задача организации, в особенно; Петрова Дарина Семёновна; 3,85; 6,22; 0,54; 83; 27.05.1999; 5,82; Зайцева Арина Давидовна; Повседневная практика показыва; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,91; 6,22; 2,84; 26; 09.10.1984; 9,16; Селезнев Георгий Артёмович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,96; 0,03; 8,84; 27; 09.07.2009; 9,0; Мещерякова Агния Кирилловна; Задача организации, в особенно; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,21; 8,19; 8,91; 12; 15.05.1991; 4,98; Ильина Василиса Михайловна; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 2,04; 4,61; 2,84; 29; 25.07.1991; 4,72; Пименова Арина Степановна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,35; 3,89; 0,4; 26; 15.04.1986; 4,73; Агафонов Илья Павлович; Разнообразный и богатый опыт р; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,22; 5,9; 4,22; 18; 04.12.2022; 1,51; Иванова Ева Семёновна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,51; 8,4; 5,85; 25; 31.10.1997; 8,85; Орлова Надежда Данииловна; Разнообразный и богатый опыт н; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 2,21; 7,73; 4,61; 88; 15.04.1986; 4,04; Русаков Егор Фёдорович; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,06; 9,16; 6,9; 57; 25.03.1985; 4,5; Сергеева Юлия Андреевна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,13; 4,61; 5,85; 45; 02.02.2006; 0,54; Журавлев Богдан Артёмович; Дорогие друзья, постоянный кол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 2,09; 5,82; 3,85; 7; 11.05.1990; 1,02; Воронцова Елизавета Андреевна; Соображения высшего порядка, а; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 8,4; 4,29; 7,98; 75; 10.01.2006; 0,46; Петрова Дарина Семёновна; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 8,56; 2,21; 78; 15.04.1986; 5,25; Воронцова Елизавета Андреевна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,14; 3,9; 6,22; 90; 20.11.2016; 8,91; Тарасова Анна Фёдоровна; Повседневная практика показыва; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 4,61; 6,12; 0,93; 67; 09.10.1984; 8,84; Орлова Надежда Данииловна; Повседневная практика показыва; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 1,02; 6,22; 5,55; 9; 11.08.2013; 8,84; Кожевников Марк Романович; Практический опыт показывает, ; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 2,84; 9,69; 3,14; 86; 24.03.1982; 3,14; Тарасова Анна Фёдоровна; Разнообразный и богатый опыт р; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 0,54; 7,98; 1,17; 22; 02.02.2006; 4,22; Мартынов Данила Фёдорович; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,06; 5,25; 8,85; 53; 04.07.1999; 5,01; Калашников Кирилл Кириллович; Таким образом, постоянное инфо; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,42; 1,02; 5,96; 79; 11.08.2013; 6,9; Тихонова Любовь Борисовна; Задача организации, в особенно; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 0,46; 4,73; 8,88; 86; 27.05.1999; 4,29; Сергеева Юлия Андреевна; Повседневная практика показыва; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 3,06; 1,51; 9,16; 51; 24.01.1970; 4,61; Орлова Надежда Данииловна; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 0,46; 5,01; 0,46; 27; 05.09.1999; 3,89; Львов Владимир Константинович; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,0; 5,24; 1,0; 87; 03.12.1982; 1,02; Тарасова Анна Фёдоровна; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,88; 7,11; 1,13; 38; 02.10.2019; 7,9; Львов Владимир Константинович; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 6,49; 7,98; 1,51; 45; 15.04.1986; 0,46; Казаков Матвей Рустамович; Соображения высшего порядка, а; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 8,56; 5,66; 1,51; 2; 11.08.2013; 3,06; Попов Максим Леонович; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,27; 6,6; 5,66; 90; 10.01.2006; 1,02; Гришин Тихон Максимович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,22; 5,23; 8,85; 27; 22.07.2000; 7,95; Журавлев Богдан Артёмович; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,61; 8,91; 2,04; 31; 11.08.2013; 2,42; Михайлова Мира Артёмовна; Разнообразный и богатый опыт п; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 0,54; 5,82; 9,69; 49; 15.04.1986; 6,61; Морозов Олег Максимович; С другой стороны новая модель ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,55; 7,95; 9,69; 39; 27.05.1999; 8,88; Мартынов Данила Фёдорович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,89; 3,85; 7,98; 44; 29.10.1987; 8,84; Харитонова Виктория Викторовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,4; 6,5; 5,99; 42; 24.01.1970; 7,73; Михеева Милана Марковна; Разнообразный и богатый опыт р; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 5,01; 8,84; 0,54; 95; 05.09.1999; 4,72; Фетисова Дарья Артёмовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,9; 0,46; 0,4; 67; 27.07.2018; 9,69; Селезнев Георгий Артёмович; Разнообразный и богатый опыт н; 
Задача организации, в особенно; Петрова Дарина Семёновна; 1,51; 5,24; 9,9; 39; 25.03.1985; 1,0; Львов Владимир Константинович; Не следует, однако, забывать о; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 5,82; 5,23; 5,99; 81; 04.12.2022; 7,95; Королев Семён Михайлович; Не следует, однако, забывать о; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,6; 4,22; 0,46; 90; 12.12.2004; 1,02; Морозов Олег Максимович; Значимость этих проблем настол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 9,28; 5,96; 7,98; 44; 25.03.1985; 5,9; Костина Зоя Ивановна; Разнообразный и богатый опыт п; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,61; 8,56; 1,18; 49; 27.05.1999; 0,03; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 4,72; 4,04; 0,4; 95; 19.09.1974; 5,82; Морозов Игорь Саввич; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 1,17; 3,14; 8,84; 88; 22.07.2000; 5,55; Мещерякова Агния Кирилловна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,54; 1,0; 1,18; 67; 05.11.2021; 8,85; Шевелева Марина Васильевна; С другой стороны новая модель ; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 1,18; 2,04; 1,18; 69; 15.02.2002; 6,28; Ушакова Ксения Кирилловна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,61; 7,11; 0,54; 38; 22.05.2022; 6,22; Казаков Матвей Рустамович; Разнообразный и богатый опыт р; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,25; 0,4; 4,72; 40; 15.05.1991; 6,61; Зайцев Александр Романович; Таким образом, постоянное инфо; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,51; 8,56; 6,5; 2; 22.07.2000; 0,46; Костина Зоя Ивановна; Не следует, однако, забывать о; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,82; 0,46; 2,09; 69; 04.07.1999; 9,16; Иванов Георгий Константинович; Не следует, однако, забывать о; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 8,91; 7,9; 7,11; 89; 30.09.2002; 3,89; Селезнев Георгий Артёмович; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,88; 8,85; 9,0; 27; 29.12.1992; 8,85; Гусев Роман Александрович; Значимость этих проблем настол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 9,28; 4,98; 7,9; 67; 12.12.2004; 5,66; Фролова Ольга Никитична; Дорогие друзья, консультация с; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,5; 3,14; 9,9; 78; 27.05.1999; 8,88; Морозов Олег Максимович; Значимость этих проблем настол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,06; 6,5; 8,33; 69; 24.01.1970; 6,22; Журавлев Богдан Артёмович; Значимость этих проблем настол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 4,51; 2,42; 6,22; 26; 09.10.1984; 0,46; Иванова Ева Семёновна; Не следует, однако, забывать о; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 4,51; 4,98; 4,73; 63; 22.07.2000; 5,66; Попов Максим Леонович; Соображения высшего порядка, а; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 5,14; 5,5; 4,72; 78; 29.09.1970; 1,02; Костина Зоя Ивановна; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,17; 3,14; 6,6; 29; 19.09.2019; 6,9; Тарасова Анна Фёдоровна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,85; 8,91; 5,5; 21; 12.12.2004; 4,51; Орлова Надежда Данииловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,5; 6,27; 5,23; 52; 19.09.1974; 2,42; Фетисова Дарья Артёмовна; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 3,06; 3,89; 5,9; 19; 15.02.2002; 9,9; Сергеева Юлия Андреевна; С другой стороны новая модель ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 2,04; 0,06; 5,01; 81; 25.03.1985; 5,01; Михеева Милана Марковна; Практический опыт показывает, ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,99; 4,29; 8,33; 2; 22.07.2000; 5,14; Григорьев Михаил Кириллович; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,5; 5,66; 5,55; 78; 04.07.1999; 0,06; Андреев Константин Денисович; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,25; 2,09; 8,91; 35; 25.07.1991; 5,23; Зайцев Степан Андреевич; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 2,84; 3,06; 2,84; 10; 02.10.2019; 4,98; Мещерякова Агния Кирилловна; Таким образом, сложившаяся стр; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,89; 6,6; 9,28; 40; 15.05.1991; 6,22; Журавлев Богдан Артёмович; Равным образом дальнейшее разв; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 6,6; 0,4; 9,9; 22; 29.12.1992; 3,9; Петрова Дарина Семёновна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,56; 2,04; 5,51; 12; 31.10.1997; 1,18; Тарасова Анна Фёдоровна; Разнообразный и богатый опыт н; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,9; 4,29; 6,22; 12; 24.01.1970; 3,9; Калашников Кирилл Кириллович; Значимость этих проблем настол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 5,23; 5,01; 6,5; 75; 04.07.1999; 1,13; Орлова Надежда Данииловна; Значимость этих проблем настол; 
